index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
46,vision: post: compile request,63.148,63.148,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.148,42153.621,0.253,0.253,0.0,0.0,1
47,prefill: compile request,63.148,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.148,42153.621,0.177,0.177,0.0,0.0,1
48,prefill: build output names,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,19.441,19.441,0.0,0.0,1
49,prefill: post: build output names,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,13.609,13.609,0.0,0.0,1
50,prefill: vision pytorch transform,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,9.526,9.526,0.0,0.0,1
51,prefill: post: vision pytorch transform,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,6.668,6.668,0.0,0.0,1
52,prefill: language pytorch transform,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,4.668,4.668,0.0,0.0,1
53,prefill: post: language pytorch transform,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,3.267,3.267,0.0,0.0,1
54,prefill: dual-qpc export orchestration,63.149,63.149,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.149,42153.621,2.287,2.287,0.0,0.0,1
55,prefill: build dummy inputs,63.149,63.157,0.008,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.157,42153.621,15.566,15.566,0.0,0.0,1
