index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
36,vision: post: vision export,155.194,155.202,0.009,61234.066,61234.066,0.0,61234.066,61234.066,61234.066,155.202,88042.355,0.872,0.872,0.0,0.0,1
37,vision: post: dual-qpc export orchestration,155.202,155.203,0.0,61234.066,61234.066,0.0,61234.066,61234.066,61234.066,155.202,88042.355,0.611,0.611,0.0,0.0,1
38,vision: vision compile wrapper,155.203,155.203,0.0,61234.066,61234.066,0.0,61234.066,61234.066,61234.066,155.203,88042.355,0.427,0.427,0.0,0.0,1
39,vision: onnx.load,155.203,157.452,2.249,61331.457,62875.398,1543.941,61331.457,62178.833,62903.469,156.241,89782.023,0.917,0.993,1741.936,0.0,16
40,vision: post: onnx.load,157.452,157.453,0.001,62875.398,62875.398,0.0,62875.398,62875.398,62875.398,157.453,89683.812,0.631,0.631,0.0,0.0,1
41,vision: subprocess.run: qaic-compile,157.453,175.029,17.576,62980.434,62875.402,-105.031,62875.402,63275.287,64663.039,159.103,102229.051,0.954,4.759,1677.63,2628.394,341
42,vision: post: subprocess.run: qaic-compile,175.029,175.188,0.159,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.187,88042.355,0.677,0.677,0.0,0.0,1
43,vision: post: vision compile wrapper,175.188,175.188,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.188,88042.355,0.474,0.474,0.0,0.0,1
44,vision: post: compile request,175.188,175.188,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.188,88042.355,0.332,0.332,0.0,0.0,1
45,prefill: compile request,175.188,175.188,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.188,88042.355,0.232,0.232,0.0,0.0,1
46,prefill: build output names,175.188,175.188,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.188,88042.355,16.885,16.885,0.0,0.0,1
47,prefill: post: build output names,175.188,175.189,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.188,88042.355,11.819,11.819,0.0,0.0,1
48,prefill: vision pytorch transform,175.189,175.189,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.189,88042.355,8.273,8.273,0.0,0.0,1
49,prefill: post: vision pytorch transform,175.189,175.189,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.189,88042.355,5.791,5.791,0.0,0.0,1
50,prefill: language pytorch transform,175.189,175.189,0.0,61234.109,61234.109,0.0,61234.109,61234.109,61234.109,175.189,88042.355,4.054,4.054,0.0,0.0,1
