index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
107,prefill: post: onnx.save,175.454,175.69,0.236,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.689,40580.949,0.81,0.81,0.0,0.0,1
108,prefill: post: language export,175.69,175.69,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.69,40580.949,0.567,0.567,0.0,0.0,1
109,prefill: post: dual-qpc export orchestration,175.69,175.691,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.691,40580.949,0.397,0.397,0.0,0.0,1
110,prefill: onnx.load,175.691,175.692,0.001,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.692,40580.949,0.278,0.278,0.0,0.0,1
111,prefill: post: onnx.load,175.692,175.692,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.692,40580.949,0.195,0.195,0.0,0.0,1
112,prefill: language compile wrapper,175.692,175.693,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.692,40580.949,0.136,0.136,0.0,0.0,1
113,prefill: onnx.load,175.693,175.694,0.001,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.693,40580.949,2.546,2.546,0.0,0.0,1
114,prefill: post: onnx.load,175.694,175.694,0.001,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.694,40580.949,1.782,1.782,0.0,0.0,1
115,prefill: subprocess.run: qaic-compile,175.694,261.036,85.341,13782.391,13782.395,0.004,13782.391,14504.235,16896.324,256.882,56137.707,1.229,14.12,8.969,5425.617,836
116,prefill: post: subprocess.run: qaic-compile,261.036,261.037,0.001,13782.395,13782.395,0.0,13782.395,13782.395,13782.395,261.037,40580.949,2.165,2.165,0.0,0.0,1
117,prefill: post: language compile wrapper,261.037,261.037,0.0,13782.395,13782.395,0.0,13782.395,13782.395,13782.395,261.037,40580.949,1.515,1.515,0.0,0.0,1
118,prefill: post: compile request,261.037,261.13,0.093,13782.395,13782.395,0.0,13782.395,13782.395,13782.395,261.037,40580.949,1.515,1.515,0.0,0.0,1
119,Completion,261.13,261.037,-0.093,13782.395,13782.395,0.0,13782.395,13782.395,13782.395,261.037,40580.949,1.515,1.515,0.0,0.0,1
