index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
106,prefill: post: onnx.save,195.039,195.461,0.422,8482.051,8482.051,0.0,8482.051,8482.051,8482.051,195.46,477187.176,0.695,0.695,0.0,0.0,1
107,prefill: onnx.load,195.461,195.462,0.001,8482.051,8482.051,0.0,8482.051,8482.051,8482.051,195.462,477187.176,0.487,0.487,0.0,0.0,1
108,prefill: post: onnx.load,195.462,207.946,12.485,8260.527,8580.16,319.633,3310.543,14015.532,22076.801,206.318,479882.191,2.47,20.191,23.761,0.005,128
109,prefill: torch.onnx.export,207.946,216.469,8.523,8581.164,8630.348,49.184,8581.164,8599.998,8630.348,216.468,477252.176,26.002,37.086,1.17,4782.885,5
110,prefill: post: torch.onnx.export,216.469,216.469,0.0,8630.348,8630.348,0.0,8630.348,8630.348,8630.348,216.469,477252.176,18.816,18.816,0.0,0.0,1
111,prefill: onnx.load,216.469,216.47,0.001,8630.348,8630.348,0.0,8630.348,8630.348,8630.348,216.47,477252.176,13.171,13.171,0.0,0.0,1
112,prefill: post: onnx.load,216.47,216.47,0.0,8630.348,8630.348,0.0,8630.348,8630.348,8630.348,216.47,477252.176,9.22,9.22,0.0,0.0,1
113,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",216.47,225.098,8.628,8645.949,13369.32,4723.371,8645.949,11069.899,13369.32,225.098,481988.195,1.509,6.885,4750.901,0.0,35
114,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",225.098,225.102,0.004,13369.32,13369.32,0.0,13369.32,13369.32,13369.32,225.102,481988.195,1.225,1.225,0.0,0.0,1
115,prefill: onnx.save,225.102,231.581,6.479,13433.324,13369.32,-64.004,13369.32,14805.769,14905.324,226.368,483524.199,0.973,1.156,8.178,4745.388,45
116,prefill: post: onnx.save,231.581,231.992,0.412,8633.301,8633.301,0.0,8633.301,8633.301,8633.301,231.992,477252.176,0.895,0.895,0.0,0.0,1
117,prefill: onnx.load,231.992,231.993,0.001,8633.301,8633.301,0.0,8633.301,8633.301,8633.301,231.993,477252.176,0.626,0.626,0.0,0.0,1
118,prefill: post: onnx.load,231.993,245.412,13.419,8161.316,8978.012,816.695,3461.793,14726.205,22771.887,243.812,480074.188,2.638,26.14,25.98,0.005,140
119,prefill: torch.onnx.export,245.412,254.118,8.706,8978.012,7551.234,-1426.777,7551.234,8742.893,8992.801,245.974,477572.176,24.265,38.551,1.553,4782.885,6
120,prefill: post: torch.onnx.export,254.118,254.119,0.0,7551.234,7551.234,0.0,7551.234,7551.234,7551.234,254.118,477572.176,19.533,19.533,0.0,0.0,1
121,prefill: onnx.load,254.119,254.119,0.001,7551.418,7551.418,0.0,7551.418,7551.418,7551.418,254.119,477572.176,13.673,13.673,0.0,0.0,1
122,prefill: post: onnx.load,254.119,254.12,0.0,7551.418,7551.418,0.0,7551.418,7551.418,7551.418,254.119,477572.176,9.571,9.571,0.0,0.0,1
123,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",254.12,262.944,8.825,7562.121,12337.52,4775.398,7562.121,9997.371,12337.52,262.943,482308.195,1.532,7.003,4788.729,0.0,35
124,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",262.944,262.948,0.004,12337.52,12337.52,0.0,12337.52,12337.52,12337.52,262.947,481988.195,0.618,0.618,0.0,0.0,1
